name	term	lev	seq	value
"basolateral plasma membrane"	GO:0016323	3	Mcavernosa04483	0
"basolateral plasma membrane"	GO:0016323	3	Mcavernosa04519	0
"basolateral plasma membrane"	GO:0016323	3	Mcavernosa05341	0
"basolateral plasma membrane"	GO:0016323	3	Mcavernosa05617	0
"basolateral plasma membrane"	GO:0016323	3	Mcavernosa05619	0
"basolateral plasma membrane"	GO:0016323	3	Mcavernosa06121	0
"basolateral plasma membrane"	GO:0016323	3	Mcavernosa06124	0
"basolateral plasma membrane"	GO:0016323	3	Mcavernosa06183	0
"basolateral plasma membrane"	GO:0016323	3	Mcavernosa12278	0
"basolateral plasma membrane"	GO:0016323	3	Mcavernosa12279	0
"basolateral plasma membrane"	GO:0016323	3	Mcavernosa12281	0.314589087246284
"basolateral plasma membrane"	GO:0016323	3	Mcavernosa12943	0
"basolateral plasma membrane"	GO:0016323	3	Mcavernosa27973	0
"basolateral plasma membrane"	GO:0016323	3	Mcavernosa28507	0
"basolateral plasma membrane"	GO:0016323	3	Mcavernosa08566	0
"basolateral plasma membrane"	GO:0016323	3	Mcavernosa11366	0
"basolateral plasma membrane"	GO:0016323	3	Mcavernosa11391	0.506592005308038
"basolateral plasma membrane"	GO:0016323	3	Mcavernosa11693	0
"basolateral plasma membrane"	GO:0016323	3	Mcavernosa32414	0
"basolateral plasma membrane"	GO:0016323	3	Mcavernosa32417	0
"basolateral plasma membrane"	GO:0016323	3	Mcavernosa32415	0
"basolateral plasma membrane"	GO:0016323	3	Mcavernosa18756	0
"basolateral plasma membrane"	GO:0016323	3	Mcavernosa06197	0
"basolateral plasma membrane"	GO:0016323	3	Mcavernosa06236	0
"basolateral plasma membrane"	GO:0016323	3	Mcavernosa06239	0
"basolateral plasma membrane"	GO:0016323	3	Mcavernosa06707	0
"basolateral plasma membrane"	GO:0016323	3	Mcavernosa06735	0.542899947487821
"basolateral plasma membrane"	GO:0016323	3	Mcavernosa06899	0
"basolateral plasma membrane"	GO:0016323	3	Mcavernosa19991	0
"basolateral plasma membrane"	GO:0016323	3	Mcavernosa19992	0
"basolateral plasma membrane"	GO:0016323	3	Mcavernosa19990	0
"basolateral plasma membrane"	GO:0016323	3	Mcavernosa20053	0.500192680011938
"basolateral plasma membrane"	GO:0016323	3	Mcavernosa21862	0
"basolateral plasma membrane"	GO:0016323	3	Mcavernosa21863	0
"basolateral plasma membrane"	GO:0016323	3	Mcavernosa22039	0
"basolateral plasma membrane"	GO:0016323	3	Mcavernosa22057	0
"basolateral plasma membrane"	GO:0016323	3	Mcavernosa22768	0
"basolateral plasma membrane"	GO:0016323	3	Mcavernosa15521	0
"basolateral plasma membrane"	GO:0016323	3	Mcavernosa16037	0
"basolateral plasma membrane"	GO:0016323	3	Mcavernosa16035	0
"basolateral plasma membrane"	GO:0016323	3	Mcavernosa16286	0
"basolateral plasma membrane"	GO:0016323	3	Mcavernosa10300	0
"basolateral plasma membrane"	GO:0016323	3	Mcavernosa10813	0
"basolateral plasma membrane"	GO:0016323	3	Mcavernosa11183	0
"basolateral plasma membrane"	GO:0016323	3	Mcavernosa09371	0
"basolateral plasma membrane"	GO:0016323	3	Mcavernosa10006	0
"basolateral plasma membrane"	GO:0016323	3	Mcavernosa10007	0
"basolateral plasma membrane"	GO:0016323	3	Mcavernosa21205	0
"basolateral plasma membrane"	GO:0016323	3	Mcavernosa17591	0
"basolateral plasma membrane"	GO:0016323	3	Mcavernosa17594	0
"basolateral plasma membrane"	GO:0016323	3	Mcavernosa17962	0
"basolateral plasma membrane"	GO:0016323	3	Mcavernosa00101	0
"basolateral plasma membrane"	GO:0016323	3	Mcavernosa00137	0
"basolateral plasma membrane"	GO:0016323	3	Mcavernosa00245	0
"basolateral plasma membrane"	GO:0016323	3	Mcavernosa00695	0
"basolateral plasma membrane"	GO:0016323	3	Mcavernosa00722	0.401706148584783
"basolateral plasma membrane"	GO:0016323	3	Mcavernosa00724	0
"basolateral plasma membrane"	GO:0016323	3	Mcavernosa29857	0
"basolateral plasma membrane"	GO:0016323	3	Mcavernosa26225	0
"basolateral plasma membrane"	GO:0016323	3	Mcavernosa24119	0
"basolateral plasma membrane"	GO:0016323	3	Mcavernosa24118	0
"basolateral plasma membrane"	GO:0016323	3	Mcavernosa27235	0
"basolateral plasma membrane"	GO:0016323	3	Mcavernosa27474	0
"basolateral plasma membrane"	GO:0016323	3	Mcavernosa27473	0
"basolateral plasma membrane"	GO:0016323	3	Mcavernosa34965	0
"basolateral plasma membrane"	GO:0016323	3	Mcavernosa28950	0
"basolateral plasma membrane"	GO:0016323	3	Mcavernosa28985	0
"basolateral plasma membrane"	GO:0016323	3	Mcavernosa33275	0
"basolateral plasma membrane"	GO:0016323	3	Mcavernosa01297	0
"basolateral plasma membrane"	GO:0016323	3	Mcavernosa01595	0
"basolateral plasma membrane"	GO:0016323	3	Mcavernosa01664	0
"basolateral plasma membrane"	GO:0016323	3	Mcavernosa01889	0
"basolateral plasma membrane"	GO:0016323	3	Mcavernosa01888	0
"basolateral plasma membrane"	GO:0016323	3	Mcavernosa01990	0.561253428105014
"basolateral plasma membrane"	GO:0016323	3	Mcavernosa03698	0
"basolateral plasma membrane"	GO:0016323	3	Mcavernosa03964	0
"basolateral plasma membrane"	GO:0016323	3	Mcavernosa07239	0
"basolateral plasma membrane"	GO:0016323	3	Mcavernosa24515	0
